user_id,artist_id,timestamp,compatibility_score
U0000,A0024,2026-04-29T22:51:08.461645,7
U0000,A0072,2026-03-21T22:51:08.461649,7
U0000,A0045,2026-04-23T22:51:08.461652,7
U0000,A0053,2026-04-15T22:51:08.461655,7
U0000,A0077,2026-02-16T22:51:08.461657,7
U0000,A0049,2026-04-14T22:51:08.461660,7
U0000,A0081,2026-03-01T22:51:08.461662,7
U0000,A0022,2026-03-12T22:51:08.461665,7
U0000,A0027,2026-03-15T22:51:08.461667,7
U0000,A0046,2026-04-03T22:51:08.461670,7
U0001,A0057,2026-02-12T22:51:08.462081,7
U0001,A0086,2026-04-27T22:51:08.462084,7
U0001,A0072,2026-03-25T22:51:08.462087,7
U0001,A0040,2026-04-21T22:51:08.462089,7
U0001,A0053,2026-03-06T22:51:08.462092,7
U0001,A0018,2026-02-14T22:51:08.462094,7
U0001,A0049,2026-04-12T22:51:08.462096,8
U0001,A0008,2026-02-17T22:51:08.462099,7
U0002,A0062,2026-02-09T22:51:08.462523,7
U0002,A0019,2026-03-03T22:51:08.462526,8
U0002,A0060,2026-02-18T22:51:08.462529,7
U0002,A0099,2026-02-03T22:51:08.462538,7
U0002,A0034,2026-04-07T22:51:08.462541,6
U0003,A0010,2026-02-17T22:51:08.462915,5
U0003,A0016,2026-03-16T22:51:08.462919,5
U0003,A0047,2026-04-22T22:51:08.462922,5
U0003,A0091,2026-05-03T22:51:08.462924,5
U0004,A0049,2026-03-25T22:51:08.463308,8
U0004,A0062,2026-02-05T22:51:08.463311,8
U0004,A0024,2026-03-08T22:51:08.463314,8
U0004,A0088,2026-04-05T22:51:08.463316,7
U0004,A0073,2026-02-22T22:51:08.463318,7
U0005,A0083,2026-04-29T22:51:08.463749,8
U0005,A0036,2026-04-08T22:51:08.463753,7
U0006,A0068,2026-02-21T22:51:08.464158,7
U0006,A0086,2026-04-28T22:51:08.464162,7
U0006,A0018,2026-02-18T22:51:08.464164,7
U0007,A0039,2026-03-02T22:51:08.464551,7
U0007,A0049,2026-03-26T22:51:08.464554,6
U0007,A0036,2026-02-13T22:51:08.464557,5
U0007,A0072,2026-02-14T22:51:08.464559,5
U0007,A0080,2026-03-18T22:51:08.464562,5
U0008,A0018,2026-03-12T22:51:08.464957,7
U0008,A0001,2026-03-06T22:51:08.464960,8
U0008,A0040,2026-02-26T22:51:08.464963,7
U0008,A0084,2026-02-05T22:51:08.464965,8
U0009,A0039,2026-04-28T22:51:08.465343,7
U0009,A0056,2026-02-07T22:51:08.465346,7
U0009,A0075,2026-03-08T22:51:08.465348,7
U0009,A0032,2026-03-29T22:51:08.465351,7
U0010,A0022,2026-03-06T22:51:08.465824,8
U0010,A0024,2026-05-03T22:51:08.465829,7
U0011,A0092,2026-02-04T22:51:08.466218,6
U0011,A0065,2026-03-17T22:51:08.466222,5
U0011,A0012,2026-03-24T22:51:08.466230,5
U0011,A0010,2026-02-16T22:51:08.466235,5
U0011,A0047,2026-03-10T22:51:08.466238,5
U0011,A0021,2026-02-11T22:51:08.466240,5
U0011,A0030,2026-04-02T22:51:08.466242,5
U0011,A0043,2026-04-28T22:51:08.466245,5
U0011,A0017,2026-02-14T22:51:08.466247,5
U0012,A0009,2026-02-20T22:51:08.466701,8
U0012,A0006,2026-03-02T22:51:08.466705,7
U0012,A0026,2026-03-06T22:51:08.466708,7
U0012,A0083,2026-03-05T22:51:08.466710,7
U0013,A0093,2026-03-10T22:51:08.467129,7
U0013,A0051,2026-02-28T22:51:08.467132,7
U0013,A0083,2026-02-14T22:51:08.467135,7
U0013,A0087,2026-03-09T22:51:08.467137,7
U0013,A0067,2026-04-14T22:51:08.467140,7
U0013,A0073,2026-03-03T22:51:08.467142,5
U0013,A0041,2026-05-01T22:51:08.467145,5
U0013,A0080,2026-03-16T22:51:08.467147,5
U0013,A0049,2026-03-10T22:51:08.467150,5
U0013,A0046,2026-04-23T22:51:08.467152,5
U0013,A0026,2026-03-26T22:51:08.467155,5
U0013,A0022,2026-02-16T22:51:08.467157,5
U0013,A0088,2026-02-24T22:51:08.467160,5
U0013,A0012,2026-04-14T22:51:08.467162,4
U0013,A0095,2026-02-22T22:51:08.467164,4
